   2.3700000e+01  -3.3611124e+01  -4.0332982e+01  -4.4624793e+01  -4.7843227e+01  -5.0443678e+01  -5.2638413e+01  -5.4544643e+01  -5.6234327e+01  -5.7754996e+01  -5.9139778e+01  -6.0412735e+01
   2.6700000e+01  -2.7829659e+01  -3.4225286e+01  -3.8308805e+01  -4.1371039e+01  -4.3845283e+01  -4.5933501e+01  -4.7747217e+01  -4.9354896e+01  -5.0801763e+01  -5.2119337e+01  -5.3330515e+01
   2.9700000e+01  -2.2048193e+01  -2.8117591e+01  -3.1992816e+01  -3.4898851e+01  -3.7246888e+01  -3.9228590e+01  -4.0949791e+01  -4.2475465e+01  -4.3848529e+01  -4.5098897e+01  -4.6248294e+01
   3.2700000e+01  -1.6266728e+01  -2.2009895e+01  -2.5676827e+01  -2.8426662e+01  -3.0648493e+01  -3.2523678e+01  -3.4152364e+01  -3.5596034e+01  -3.6895296e+01  -3.8078456e+01  -3.9166073e+01
   3.5700000e+01  -1.0485263e+01  -1.5902200e+01  -1.9360838e+01  -2.1954474e+01  -2.4050097e+01  -2.5818766e+01  -2.7354938e+01  -2.8716602e+01  -2.9942063e+01  -3.1058015e+01  -3.2083852e+01
   3.8700000e+01  -4.7037972e+00  -9.7945043e+00  -1.3044849e+01  -1.5482286e+01  -1.7451702e+01  -1.9113855e+01  -2.0557512e+01  -2.1837171e+01  -2.2988829e+01  -2.4037575e+01  -2.5001631e+01
   4.1700000e+01   1.0776682e+00  -3.6868088e+00  -6.7288604e+00  -9.0100977e+00  -1.0853307e+01  -1.2408943e+01  -1.3760086e+01  -1.4957740e+01  -1.6035596e+01  -1.7017134e+01  -1.7919411e+01
   4.4700000e+01   6.8591336e+00   2.4208867e+00  -4.1287154e-01  -2.5379095e+00  -4.2549117e+00  -5.7040311e+00  -6.9626593e+00  -8.0783087e+00  -9.0823621e+00  -9.9966932e+00  -1.0837190e+01
   4.7700000e+01   1.2640599e+01   8.5285822e+00   5.9031173e+00   3.9342787e+00   2.3434835e+00   1.0008806e+00  -1.6523307e-01  -1.1988775e+00  -2.1291287e+00  -2.9762525e+00  -3.7549690e+00
   5.0700000e+01   1.8422064e+01   1.4636278e+01   1.2219106e+01   1.0406467e+01   8.9418787e+00   7.7057922e+00   6.6321932e+00   5.6805538e+00   4.8241048e+00   4.0441882e+00   3.3272518e+00
   5.3700000e+01   2.4203530e+01   2.0743973e+01   1.8535095e+01   1.6878655e+01   1.5540274e+01   1.4410704e+01   1.3429619e+01   1.2559985e+01   1.1777338e+01   1.1064629e+01   1.0409473e+01
   5.6700000e+01   2.9984995e+01   2.6851669e+01   2.4851084e+01   2.3350843e+01   2.2138669e+01   2.1115616e+01   2.0227046e+01   1.9439416e+01   1.8730572e+01   1.8085070e+01   1.7491693e+01
   5.9700000e+01   3.5766461e+01   3.2959364e+01   3.1167073e+01   2.9823032e+01   2.8737064e+01   2.7820527e+01   2.7024472e+01   2.6318847e+01   2.5683805e+01   2.5105510e+01   2.4573914e+01
   6.2700000e+01   4.1547926e+01   3.9067060e+01   3.7483062e+01   3.6295220e+01   3.5335460e+01   3.4525439e+01   3.3821898e+01   3.3198279e+01   3.2637039e+01   3.2125951e+01   3.1656135e+01
   6.5700000e+01   4.7329391e+01   4.5174755e+01   4.3799050e+01   4.2767408e+01   4.1933855e+01   4.1230351e+01   4.0619324e+01   4.0077710e+01   3.9590272e+01   3.9146392e+01   3.8738356e+01
   6.8700000e+01   5.3110857e+01   5.1282451e+01   5.0115039e+01   4.9239596e+01   4.8532250e+01   4.7935262e+01   4.7416751e+01   4.6957141e+01   4.6543506e+01   4.6166832e+01   4.5820576e+01
