   1.2300000e+02   4.4455324e+01   4.4799096e+01
   1.2400000e+02   4.4090924e+01   4.4962017e+01
   1.2500000e+02   4.4131901e+01   4.4880042e+01
   1.2600000e+02   4.4072769e+01   4.4938341e+01
   1.2700000e+02   4.4068034e+01   4.4908046e+01
   1.2800000e+02   4.4434646e+01   4.4880024e+01
   1.2900000e+02   4.4289852e+01   4.4791366e+01
   1.3000000e+02   4.4274930e+01   4.4975173e+01
   1.3100000e+02   4.4072477e+01   4.4548642e+01
   1.3200000e+02   4.4426516e+01   4.4527606e+01
   1.3300000e+02   4.4311028e+01   4.4754568e+01
   1.3400000e+02   4.4175476e+01   4.4755374e+01
   1.3500000e+02   4.4256625e+01   4.4831140e+01
